date,pm25
2022-09-10,22.0
2022-09-11,89.0
2022-09-12,131.0
2022-09-13,35.0
2022-09-14,70.0
2022-09-15,83.0
2021-01-05,11.0
2021-01-06,16.0
2021-01-07,10.0
2021-01-08,25.0
2021-01-09,48.0
2021-01-10,45.0
2021-01-11,35.0
2021-01-12,21.0
2021-01-13,17.0
2021-01-14,27.0
2021-01-15,15.0
2021-01-16,11.0
2021-01-17,8.0
2021-01-18,9.0
2021-01-19,15.0
2021-01-20,12.0
2021-01-21,9.0
2021-01-22,7.0
2021-01-23,13.0
2021-01-24,14.0
2021-01-25,10.0
2021-01-26,11.0
2021-01-27,13.0
2021-01-28,29.0
2021-01-29,50.0
2021-01-30,69.0
2021-01-31,75.0
2021-02-01,68.0
2021-02-02,70.0
2021-02-03,30.0
2021-02-04,21.0
2021-02-05,39.0
2021-02-06,17.0
2021-02-07,28.0
2021-02-08,53.0
2021-02-09,45.0
2021-02-10,14.0
2021-02-11,11.0
2021-02-12,9.0
2021-02-13,13.0
2021-02-14,16.0
2021-02-15,9.0
2021-02-16,12.0
2021-02-17,21.0
2021-02-18,17.0
2021-02-19,10.0
2021-02-20,12.0
2021-02-21,14.0
2021-02-22,5.0
2021-02-23,15.0
2021-02-24,4.0
2021-02-25,5.0
2021-02-26,8.0
2021-02-27,16.0
2021-02-28,38.0
2021-03-01,55.0
2021-03-02,43.0
2021-03-03,23.0
2021-03-04,59.0
2021-03-05,62.0
2021-03-06,57.0
2021-03-07,35.0
2021-03-08,32.0
2021-03-09,31.0
2020-10-02,19.0
2020-10-03,25.0
2020-10-04,35.0
2020-10-05,44.0
2020-10-06,17.0
2020-10-07,16.0
2020-10-08,19.0
2020-10-09,13.0
2020-10-10,14.0
2020-10-11,17.0
2020-10-12,6.0
2020-10-13,8.0
2020-10-14,17.0
2020-10-15,11.0
2020-10-16,7.0
2020-10-17,12.0
2020-10-18,8.0
2020-10-19,13.0
2020-10-20,15.0
2020-10-21,19.0
2020-10-22,18.0
2020-10-23,14.0
2020-10-24,14.0
2020-10-25,8.0
2020-10-26,14.0
2020-10-27,13.0
2020-10-28,10.0
2020-10-29,18.0
2020-10-30,27.0
2020-10-31,23.0
2020-11-01,16.0
2020-11-02,10.0
2020-11-03,17.0
2020-11-04,35.0
2020-11-05,17.0
2020-11-06,20.0
2020-11-07,17.0
2020-11-08,27.0
2020-11-09,13.0
2020-11-10,24.0
2020-11-11,15.0
2020-11-12,14.0
2020-11-13,30.0
2020-11-14,36.0
2020-11-15,38.0
2020-11-16,37.0
2020-11-17,60.0
2020-11-18,35.0
2020-11-19,40.0
2020-11-20,20.0
2020-11-21,45.0
2020-11-22,30.0
2020-11-23,30.0
2020-11-24,52.0
2020-11-25,54.0
